trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-301.9437097745543,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-138.42338011643113,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-58.60838340193108,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,4,-172.48114548439352,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-94.66061694531449,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,4,-29.877212783047607,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-68.37297895049944,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-68.28678378046331,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-127.12653198778885,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-219.14724674518013,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-18.2387625708872,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,8,-56.256319140976785,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,17,1.443749682333567,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,12,-73.2840382313584,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,4,-47.67107475374783,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-74.2056270795874,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-19.579416574409567,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-66.27336174209671,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,12.105242125510573,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-46.56417262632154,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-25.53557823325673,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,10,-23.313252907372245,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,1,12.85558625886144,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,1,-143.93637233325634,"{0: 18, 1: 1, 2: 0, 3: 2, 4: 3}",1
5,True,"{'a': 0, 'e': 0}",20,9,-26.33412363263617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-37.56116700397817,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,11.676821161692088,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,11,-68.0790985523108,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",30,12,-20.657524962752383,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,0,30.547658559316343,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
