trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.6967067093471655}",30,7,-266.1728607875814,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 6}",1
2,False,"{'a': 0.8, 'e': -0.029199522301288815}",25,0,-1.4992191908506558,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': -0.7373937155412458}",20,8,-115.27460143721109,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 2}",1
4,False,"{'a': 0.8, 'e': -0.9982947757947531}",25,0,-47.82950867419946,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': -0.6536436208636119}",25,0,-57.397783436182294,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.08749898343944729}",25,0,-9.607877732033002,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.7755658785102502}",20,0,-87.35503880520679,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9931849187581926}",25,0,-44.22778841262415,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.6083513145322546}",30,9,-6.43150487781886,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': -0.14550003380861354}",25,9,-7.9377922495272895,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.8, 'e': -0.811093014061656}",25,9,17.52831528714763,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': -0.9846878557941267}",25,0,-6.108419674547482,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': -0.5609842574272288}",25,0,19.10458408791215,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.20300486381875216}",25,15,12.027029286456827,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.8438539587324921}",20,7,-56.623246208128634,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.8, 'e': 0.9728325656974354}",35,0,-290.605408271096,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 7}",0
17,False,"{'a': 0.8, 'e': 0.5117039924531475}",20,3,-21.063076278885386,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': -0.25981735621375585}",20,0,30.131936955129557,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': -0.8737369830110809}",25,8,28.278317612849424,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': -0.9576594803233847}",25,18,9.776275189705565,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,17,19.200147402846603,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,20,12.505886579773843,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,23.62204402831077,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,39.251677585132065,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,3,23.470955860459185,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,6.5737701364976235,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,5.966229732581395,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,20.435951646519598,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,25.48213909526914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,28.705689472188517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
