trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.7479155973185,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.78864822279766,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.4434639433648,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.58134840618527,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.50980423270772,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.68203389525891,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,19,-2.0358400723632197,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.1984613157193,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-218.78356169730088,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-233.33351703961438,"{0: 6, 1: 4, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.65898100324452,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.89045212452709,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.30936522152567,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.1112569108944,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,8,-39.885005578796424,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.2476147780548,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.83939795436503,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.71268327614882,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.02936436316184,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,3,-38.23945049207513,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-111.02215457272496,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.09291527473934,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.59081711010461,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.65817722939454,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.0412399331446,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,12,-165.40001086421628,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.07694722421873,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.59971318692098,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.7681827058793,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-223.85712383776092,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
